id,title,release_date,overview,genres,keywords,cast,directors,writers,spoken_languages,streaming_platforms,rating,vote_count,popularity,runtime,poster_url
1578815,Life of a Phallus,2025-12-14,"Nari Monchan, from a secluded tribe, grapples with dwindling female presence, possessiveness in marriage, and revelations about his father that unravel his beliefs. As he confronts ancestral traditions and the legacy of the Indian Emergency, his journey becomes a search for identity, shaped by personal fears and buried truths. The film explores the fragile balance between tradition, desire, and self-discovery. This is the first film in Cholanaikka language spoken by the eponymous cave people.",[],[],[],['Unnikrishnan Avala'],"['Unnikrishnan Avala', 'Vinod Chellan', 'Unnikrishnan Avala']",['Malayalam'],[],0.0,0,0.076,116,https://image.tmdb.org/t/p/w500/nau3wbXBop9I52bvtOm9658HM0X.jpg
1000869,Ulkazhcha,2022-08-12,,[],[],['Anjali Aneesh Upasana'],['Rajesh Raj'],"['Roopesh Bhaskaran', 'Bijoy Bahuleyan']",['Malayalam'],[],0.0,0,0.0621,0,https://image.tmdb.org/t/p/w500/dfSvJaO1kV4cMRXXHB1nrg4tluU.jpg
1222361,In Your Language,2024-12-19,A group of students aged between 18 to 25 shares their opinion on the first thing they want to change in their country if they get the power to do so.,['Documentary'],"['social documentary', 'political documentary', 'documentary', 'iyl', 'in your language', 'malayalam documentary']",['Maitreya Maitreyan'],['Ram Gayathri Krishna'],"['Ram Gayathri Krishna', 'Badusha Mohammed Buhari']","['English', 'Hindi', 'Malayalam']",[],0.0,0,0.0717,42,https://image.tmdb.org/t/p/w500/3vb25GewgtG5g4Pgc2OLLYlp0oO.jpg
940677,Queen Of Thonnakkal,2021-10-08,Queen of Thonnakkal helmed by Syam Muraleedharan revolves around a Panchayat election of Thonnakkal a village in Trivandrum Kerala. The storyline takes us to the aftermath of the reservation of seats for women in elections. Centering around the veteran politician and panchayat president Paulose Pazhukkapilly (Madhupal) and his daughter Jiji Paulose (Maria Vincent) who is a social media influencer the movie deals with the latter’s entry into politics.,['Drama'],[],"['Madhupal', 'Maria Vincent', 'Vinod Thomas']",['Shyam Muralidharan'],[],['Malayalam'],"['ManoramaMax', 'VI movies and tv', 'ManoramaMAX Amazon Channel']",0.0,0,0.068,140,https://image.tmdb.org/t/p/w500/uMkkSSe7ncv1575SaJExDQBw6yY.jpg
531911,Sthaanam,2018-05-18,,['Drama'],[],"['Vinu Mohan', 'KPAC Lalitha', 'Joy Mathew', 'Madhu', 'Sunil Sukhada']",['Kaviyoor Shivaprasad'],['Kaviyoor Shivaprasad'],['Malayalam'],[],0.0,0,0.0869,142,https://image.tmdb.org/t/p/w500/wcM25LD1rVfWIb0AzqJdKZ2IRPO.jpg
456531,Yanam Mahayanam,2016-06-08,Yanam Mahayanam Malayalam Drama movie  Story,['Drama'],[],"['Dr. Chandramohan', 'Divian', 'Navami Gayak', 'Ranjan', 'Vishnu']",['Kannan Sooraj'],[],['Malayalam'],[],0.0,0,0.0757,0,https://image.tmdb.org/t/p/w500/w1my4Yfu4VOtcqzFL8vP1FU2t1h.jpg
409611,Daivathinte Kaiyoppu,2016-08-04,Low Budget Film,[],[],"['Madhu', 'Jagathy Sreekumar', 'M R Gopakumar', 'Maithili Kaishap']",['Benny Asamsa'],[],['Malayalam'],[],0.0,0,0.0787,128,
1612656,Uriyattu,2020-02-14,"Gowda attacks the man who performs theyyam in Neeleshwaram, in the hopes of preventing the ritual and seizing the temple land. But, he is oblivious to the divine elements that guide the hands of fate.",['Drama'],[],"['Ashish Vidhyarthi', 'Sreejith Ravi', 'Jayan Cherthala', 'Chembil Ashokan', 'Sunil Sukhada']",['K Bhuvanachandran'],"['Ramesh Pullappally', 'Ramesh Pullappally']",['Malayalam'],[],1.0,1,0.0895,126,https://image.tmdb.org/t/p/w500/fwDpDYHxcepOPG9WDMx7MFB0DO5.jpg
1556488,Chaos Theory,2018-12-31,"A bored butterfly lands on a motorcycle helmet and slips inside. The rushing owner, already late for work, puts it on without noticing. Startled by the butterfly trapped near his face, he stops the bike, removes the helmet, and lets it fly away.  Still in a hurry, he rides out and crashes into a milkman. The can of milk spills across the road. This small accident sets off a chain of events in different places, each leading to another, until it finally ends in the death of a man.  A short film about how the smallest things can create the biggest consequences.",[],[],"['Kannan Nayar', 'Jenny Pallath', 'Anand Manmadhan', 'Ratheesh Rohini', 'Gibin Gopinath']",['Vinesh Viswanath'],['Kailash S Bhavan'],['Malayalam'],[],10.0,1,0.0456,16,https://image.tmdb.org/t/p/w500/7ckx1c8IjAxSDkm8OdrYTFbfNKW.jpg
1532393,If on a Winter's Night,2025-09-20,"Portrays a couple form Kerala who lost their house during harsh winter days while trying settle down in Delhi, building a bond amid challenges in a strange city.",['Drama'],[],"['Bhanu Priyamvada', 'Roshan Abdul Rahoof', 'Jitheesh Raichel Samuel', 'Arathy K B', 'Shobhana Sharma']",['Sanju Surendran'],['Rekha Raj'],"['Hindi', 'Malayalam']",[],0.0,0,0.0587,100,https://image.tmdb.org/t/p/w500/yWIMk0hCyPacK6Sy8OXehdiJnTC.jpg
